epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,seconds
1,9.984894935292328e-05,0.6877892255702288,0.7732971873941037,0.772728239390617,0.4521378863479289,0.8846761453396524,0.885113721987575,352.92763090133667
2,9.939672868916175e-05,0.499955051674838,0.8749576414774652,0.8738945274538608,0.4476647203755793,0.9004739336492891,0.899222768452712,355.23365807533264
3,9.864612609948615e-05,0.4334796203552202,0.9081667231446967,0.9071430515484133,0.4037333635545643,0.9115323854660348,0.9101957598245327,399.54203271865845
4,9.760176929846253e-05,0.3979460357084633,0.923415791257201,0.9225450569929581,0.4070623036809442,0.9067930489731437,0.906234237071459,416.6542615890503
5,9.627009709305305e-05,0.36261303301222725,0.9383259911894273,0.93753726449462,0.40190576071046163,0.9273301737756714,0.9255677893463659,403.2453362941742
6,9.465931968523002e-05,0.34432183732747307,0.9467976956963741,0.9459341813921227,0.37903794316695577,0.9257503949447078,0.9246041276633351,364.9096767902374
7,9.277936805335052e-05,0.3210149405366968,0.9573026092849881,0.9568867272167588,0.37527533560567555,0.9273301737756714,0.9266520070898908,371.1179051399231
8,9.064183272437244e-05,0.31268442833435733,0.9623856319891562,0.9620808571479416,0.3866630740828612,0.9273301737756714,0.9262678095057457,368.16027212142944
9,8.825989231440152e-05,0.2979606754070458,0.9742460182988817,0.9739914001662979,0.38351798481285854,0.9289099526066351,0.9284752506819178,372.21660685539246
10,8.564823227814083e-05,0.2956767016065521,0.9725516773974924,0.9722032713456337,0.3633912536205274,0.9320695102685624,0.9315915988577995,371.54480600357056
11,8.282295436817901e-05,0.2753393204231983,0.981362250084717,0.981119400843589,0.3668130115498487,0.9368088467614534,0.9364323124504121,384.0866768360138
12,7.980147736233119e-05,0.26921857504148233,0.9823788546255506,0.9822151544864961,0.35618445564408624,0.9399684044233807,0.9393113089769036,430.7659752368927
13,7.660242967108149e-05,0.2713669680692672,0.9830565909861064,0.9827742916871418,0.3636495088231507,0.9383886255924171,0.9379097479813227,398.2603540420532
14,7.324553448723779e-05,0.2666940165046755,0.9833954591663843,0.9831005172017756,0.3564131384212259,0.9415481832543444,0.9411867686236625,379.44368386268616
